sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,tr_n_trades,tr_winrate,tr_PF,tr_total_ret,tr_CAGR,tr_Sharpe,tr_Sortino,tr_MaxDD,tr_avg_bars
1.0,1.0,2.5,4.5,2.0,34,29.411764705882355,0.7945844146019192,-5.49943501360387,-2.745978351643086,-0.3389154425514986,-0.2785304456704257,-11.223022420141977,8.735294117647058
1.0,1.0,2.5,4.5,3.0,31,25.806451612903224,0.8621512284642785,-3.619705756765701,-1.798481311785327,-0.19890512940643193,-0.16937509720366808,-9.45714216202346,10.903225806451612
1.0,1.0,2.5,6.0,2.0,31,35.483870967741936,0.9683500621726785,-1.1083195066291185,-0.5471147310293412,-0.034357698527104595,-0.029717579318593743,-7.045656590738438,10.935483870967742
1.0,1.0,2.5,6.0,3.0,27,33.33333333333333,0.94782003977614,-1.3563522282451057,-0.6699801669481253,-0.044408521726308936,-0.039839548075600056,-6.999721884227697,14.703703703703704
1.0,1.0,2.5,8.0,2.0,30,36.666666666666664,0.9843949682065343,-0.7430821986872282,-0.3664753503067386,-0.009150942670155118,-0.00814705741351951,-7.904460753770428,11.9
1.0,1.0,2.5,8.0,3.0,26,34.61538461538461,0.953462316019094,-1.2002696615871389,-0.592644869154757,-0.03318554184527882,-0.030723341641772952,-8.068009501859391,16.0
1.0,1.0,3.5,4.5,2.0,34,29.411764705882355,0.8463629963074834,-4.287969635235034,-2.1342426883141585,-0.2445146183863756,-0.20690782515472322,-10.618333378747666,8.735294117647058
1.0,1.0,3.5,4.5,3.0,31,22.58064516129032,0.9046310964645006,-2.7545188634192863,-1.3655292833253285,-0.13277837955764482,-0.11555754031677686,-9.186304561218826,10.903225806451612
1.0,1.0,3.5,6.0,2.0,31,35.483870967741936,0.998259439853052,-0.501304658238888,-0.2470824070724409,0.0074960455911764175,0.006656847824567458,-6.942295186500279,10.935483870967742
1.0,1.0,3.5,6.0,3.0,27,25.925925925925924,0.9467745789302914,-1.482590094401004,-0.7325735650776322,-0.046732163053528016,-0.042505127894348516,-7.8600576771792126,14.703703703703704
1.0,1.0,3.5,8.0,2.0,30,36.666666666666664,1.019671147402463,-0.04827615907883054,-0.023766885079168354,0.036639679323720545,0.033448497070879664,-7.818523920365417,11.9
1.0,1.0,3.5,8.0,3.0,26,26.923076923076923,0.9516095818377328,-1.3332092252520966,-0.6585094235662781,-0.03643726309950996,-0.03427398629943893,-9.003566280334118,16.0
1.0,1.0,5.0,6.0,2.0,31,35.483870967741936,0.9372234421445624,-1.8137442275942939,-0.8969658222619192,-0.06822829574552092,-0.06103165940351724,-8.582890995209429,10.935483870967742
1.0,1.0,5.0,6.0,3.0,27,25.925925925925924,0.8748773427287097,-2.882543876889565,-1.4294712020936573,-0.11670567535919496,-0.10622309137294962,-9.578005568784691,14.703703703703704
1.0,1.0,5.0,8.0,2.0,30,36.666666666666664,0.9558723982023124,-1.364341125355406,-0.6739401513499055,-0.03913186536835464,-0.035965607842540034,-9.438130077030557,11.9
1.0,1.0,5.0,8.0,3.0,26,26.923076923076923,0.8761560020202898,-2.732968069151609,-1.3547699724204665,-0.10602777455571416,-0.09962801245532349,-10.69472851892533,16.0
1.0,1.5,2.5,4.5,2.0,34,29.411764705882355,0.8696526435206143,-3.6998859353627345,-1.8387043662968394,-0.2046070674589477,-0.17232124220642012,-9.284352805530025,8.735294117647058
1.0,1.5,2.5,4.5,3.0,31,25.806451612903224,0.9376607920193494,-1.9196409756311095,-0.9495947059300902,-0.08169428709717672,-0.07118538225911325,-8.693273774205982,10.903225806451612
1.0,1.5,2.5,6.0,2.0,31,35.483870967741936,1.0541133042004978,0.7065522105491606,0.3471791372235966,0.08323928455642048,0.07165045142416142,-6.679434172989092,10.935483870967742
1.0,1.5,2.5,6.0,3.0,27,33.33333333333333,1.0402712348583703,0.3212480424446884,0.1580058037814247,0.060547617387320916,0.05421953312057544,-6.679434172989092,14.703703703703704
1.0,1.5,2.5,8.0,2.0,30,36.666666666666664,1.0740138170504538,1.080861683588008,0.5306027929868229,0.10626508284926557,0.09654356175122691,-6.679434172989092,11.9
1.0,1.5,2.5,8.0,3.0,26,34.61538461538461,1.0509320775223119,0.48278962523773394,0.23736293571481326,0.06992914872890403,0.06597847306255608,-6.679434172989092,16.0
1.0,1.5,3.5,4.5,2.0,34,29.411764705882355,0.9217605781794904,-2.467736411754473,-1.222451109352718,-0.11717981076689765,-0.10145175158651311,-8.66746031740041,8.735294117647058
1.0,1.5,3.5,4.5,3.0,31,22.58064516129032,0.9789625298686411,-1.040954003725758,-0.5137715970331858,-0.022062391877073328,-0.01961654430955291,-8.478914291914416,10.903225806451612
1.0,1.5,3.5,6.0,2.0,31,35.483870967741936,1.083869947707642,1.323604099067488,0.6493700704493621,0.11979389056544157,0.10565350212822833,-6.674675003589549,10.935483870967742
1.0,1.5,3.5,6.0,3.0,27,25.925925925925924,1.034651222502357,0.19319460639402042,0.0950535764293603,0.05422195478998458,0.04921039376572994,-6.674675003589549,14.703703703703704
1.0,1.5,3.5,8.0,2.0,30,36.666666666666664,1.1091017457524324,1.7871539120347668,0.8757717317390501,0.1474936543315392,0.1372295154899931,-6.674675003589549,11.9
1.0,1.5,3.5,8.0,3.0,26,26.923076923076923,1.0441484082609978,0.3479470186490863,0.17112612083933776,0.06279615831818491,0.06012696478169823,-7.413846566761569,16.0
1.0,1.5,5.0,6.0,2.0,31,35.483870967741936,1.0231456342724505,-0.010387927539257102,-0.0051135991920858714,0.042241162299985646,0.03758566130943924,-6.864673413114677,10.935483870967742
1.0,1.5,5.0,6.0,3.0,27,25.925925925925924,0.961106303049251,-1.2279105700206738,-0.6063357767935207,-0.019595014262186863,-0.017829209478735557,-7.9987349079453525,14.703703703703704
1.0,1.5,5.0,8.0,2.0,30,36.666666666666664,1.0456434570648343,0.44944564479503235,0.22098804905155145,0.06844266461138261,0.06404242755363866,-7.733250503793097,11.9
1.0,1.5,5.0,8.0,3.0,26,26.923076923076923,0.9668710685666547,-1.0730025872737414,-0.529632880896802,-0.011728116474152084,-0.01120239780098056,-9.131678825099725,16.0
1.0,2.0,2.5,4.5,2.0,34,29.411764705882355,0.8135707853209951,-5.8199979106908994,-2.908513474884644,-0.309068774431118,-0.2509516089553557,-11.8229985193922,8.735294117647058
1.0,2.0,2.5,4.5,3.0,31,25.806451612903224,0.8632425033080888,-4.148091949406629,-2.0638645223681418,-0.1996942111608594,-0.1678838237992884,-11.018152560197642,10.903225806451612
1.0,2.0,2.5,6.0,2.0,31,35.483870967741936,1.025871615348338,0.083038067389829,0.040866931142158336,0.047886971580141546,0.04018686868393827,-7.687081542464358,10.935483870967742
1.0,2.0,2.5,6.0,3.0,27,33.33333333333333,1.0060069422533993,-0.3661658929737466,-0.18041327318919498,0.024583131201494423,0.021544091416680185,-7.111453682596267,14.703703703703704
1.0,2.0,2.5,8.0,2.0,30,36.666666666666664,1.042558576803219,0.4573765006152586,0.2248830610941832,0.06931137533118312,0.05969927107893346,-7.71069374508329,11.9
1.0,2.0,2.5,8.0,3.0,26,34.61538461538461,1.0139224665068483,-0.20295583288839625,-0.0999566745456093,0.034096428056980134,0.03073177899601639,-7.837394028376113,16.0
1.0,2.0,3.5,4.5,2.0,34,29.411764705882355,0.8586862438728455,-4.617298354068322,-2.300147896773863,-0.2273533540709895,-0.18904651519926613,-11.411251738759841,8.735294117647058
1.0,2.0,3.5,4.5,3.0,31,22.58064516129032,0.8992443098538642,-3.2910829439585676,-1.6338021948162695,-0.1412635687943626,-0.12113582803232363,-10.809600886359338,10.903225806451612
1.0,2.0,3.5,6.0,2.0,31,35.483870967741936,1.0525364676843174,0.6951778792320784,0.3415999351936483,0.08267071856169751,0.07090200425876166,-7.556549568733052,10.935483870967742
1.0,2.0,3.5,6.0,3.0,27,25.925925925925924,1.0021890095186883,-0.4930138911959481,-0.24299093053078424,0.020030972914971117,0.017801126273887562,-8.029164914176613,14.703703703703704
1.0,2.0,3.5,8.0,2.0,30,36.666666666666664,1.0738543791266606,1.158043715534851,0.5683815543156223,0.10792146491416965,0.09491613791435727,-7.576732945377349,11.9
1.0,2.0,3.5,8.0,3.0,26,26.923076923076923,1.009385662836074,-0.33652032395977693,-0.1657941195061241,0.028895699426210876,0.026455254842132098,-8.77125453028162,16.0
1.0,2.0,5.0,6.0,2.0,31,35.483870967741936,0.9981215653259857,-0.6280468293696884,-0.30965097214079584,0.012334344410532317,0.010712757242949867,-8.198564687912437,10.935483870967742
1.0,2.0,5.0,6.0,3.0,27,25.925925925925924,0.9352341843458037,-1.9017526802050266,-0.9407025026900939,-0.047417972525948794,-0.04245762424218885,-9.347973926584146,14.703703703703704
1.0,2.0,5.0,8.0,2.0,30,36.666666666666664,1.0172543422473475,-0.16889819310593746,-0.08317592934679041,0.03755599770151766,0.033434041109697464,-9.024654786502408,11.9
1.0,2.0,5.0,8.0,3.0,26,26.923076923076923,0.9393456139115539,-1.7451466958619544,-0.8628893953287919,-0.038239813493419636,-0.03523203610144211,-10.461078396830473,16.0
1.5,1.0,2.5,4.5,2.0,31,41.935483870967744,0.972592357618056,-1.2758729885867792,-0.6300968145001473,-0.030540007349669347,-0.026367682079238994,-11.822008853732612,11.32258064516129
1.5,1.0,2.5,4.5,3.0,26,34.61538461538461,1.0100631579467982,0.4336742529827742,0.2132419189259105,0.06790705533990206,0.06256658732497512,-9.87516947365995,15.615384615384615
1.5,1.0,2.5,6.0,2.0,29,41.37931034482759,0.8334461256423198,-4.799359000361026,-2.391989041452691,-0.2525258246844471,-0.2128768109787025,-12.400693625062676,12.758620689655173
1.5,1.0,2.5,6.0,3.0,23,39.130434782608695,0.8539770252818598,-2.78430216864316,-1.3804006976223082,-0.12306054735198495,-0.11113677149083748,-10.382606167538318,18.91304347826087
1.5,1.0,2.5,8.0,2.0,28,42.857142857142854,0.8562115579821467,-4.026478263434696,-2.0027180863978367,-0.20082695156989133,-0.17350201424798142,-12.162412608286582,13.821428571428571
1.5,1.0,2.5,8.0,3.0,22,36.36363636363637,0.8671915868856357,-2.322681718411923,-1.1501634506112413,-0.09326466708410737,-0.08649416560912104,-10.184579782277597,20.681818181818183
1.5,1.0,3.5,4.5,2.0,31,41.935483870967744,0.9896100646167341,-0.8705519437546716,-0.42948104578564017,-0.004251415166718151,-0.0037642523369423616,-11.741878355852462,11.32258064516129
1.5,1.0,3.5,4.5,3.0,26,34.61538461538461,1.0500018508717766,0.8087417357966142,0.39728958739784215,0.08892967379567215,0.08424538234725958,-10.01043753457551,15.615384615384615
1.5,1.0,3.5,6.0,2.0,29,41.37931034482759,0.8392235979117291,-4.686284780431249,-2.334937864036568,-0.2359260139961403,-0.20352761173576225,-12.385366395130122,12.758620689655173
1.5,1.0,3.5,6.0,3.0,23,34.78260869565217,0.8995090997770404,-2.5556500268680726,-1.2662892187881414,-0.1004809915888787,-0.09311327268453133,-10.190998525748332,18.91304347826087
1.5,1.0,3.5,8.0,2.0,28,42.857142857142854,0.8656415563101644,-3.83017370750508,-1.9041005948949197,-0.18100843953959647,-0.15986070928833312,-12.080448984682679,13.821428571428571
1.5,1.0,3.5,8.0,3.0,22,36.36363636363637,0.91259121140587,-2.153697400183474,-1.0660192229326126,-0.07566790909548865,-0.0719607427339214,-10.31227597828204,20.681818181818183
1.5,1.0,5.0,6.0,2.0,29,41.37931034482759,0.7889735559018041,-5.943522284166869,-2.97121904414821,-0.296011178490407,-0.2590434955538625,-13.62298210317091,12.758620689655173
1.5,1.0,5.0,6.0,3.0,23,34.78260869565217,0.8040984638544917,-4.621030558345662,-2.302029726509758,-0.20036138325472647,-0.18659476918316334,-12.177848003448316,18.91304347826087
1.5,1.0,5.0,8.0,2.0,28,42.857142857142854,0.8126268074525014,-5.0964424053605795,-2.5420455277738063,-0.24222697332863988,-0.21692222725051943,-13.625174152596346,13.821428571428571
1.5,1.0,5.0,8.0,3.0,22,36.36363636363637,0.8118377156140133,-4.225315400053454,-2.102712335754575,-0.1757006991023926,-0.167758602233616,-12.602828737786325,20.681818181818183
1.5,1.5,2.5,4.5,2.0,31,41.935483870967744,1.0659887104104286,1.1300448982477063,0.5546784941317329,0.10661385889736427,0.09419723093476652,-10.23578067976982,11.32258064516129
1.5,1.5,2.5,4.5,3.0,26,38.46153846153847,1.0949787312036126,2.5824874635220985,1.2630030998115993,0.1849237574399085,0.17393432558877517,-8.317358489232586,15.615384615384615
1.5,1.5,2.5,6.0,2.0,29,41.37931034482759,0.9108967653156234,-2.8911241013481304,-1.4337581133986865,-0.12507793636172382,-0.10570694845642348,-10.41464619524203,12.758620689655173
1.5,1.5,2.5,6.0,3.0,23,39.130434782608695,0.9282235882107733,-1.1204748355008953,-0.5531323434957991,-0.0196823107550225,-0.01779318796474404,-8.614278080018982,18.91304347826087
1.5,1.5,2.5,8.0,2.0,28,42.857142857142854,0.9378797660205461,-2.100456754381963,-1.0395238084491942,-0.07965762169934694,-0.07015621532445165,-10.667829460194545,13.821428571428571
1.5,1.5,2.5,8.0,3.0,22,40.909090909090914,0.9462779124944226,-0.6479175839543938,-0.3194642030551087,0.0066648621070423564,0.006284936018457861,-8.74893207286081,20.681818181818183
1.5,1.5,3.5,4.5,2.0,31,41.935483870967744,1.0831164781507898,1.5444346468472592,0.7572910300366775,0.12818174525520748,0.11600889108594531,-10.24254401955425,11.32258064516129
1.5,1.5,3.5,4.5,3.0,26,34.61538461538461,1.1319803806483981,2.9651253295283952,1.4487583747635036,0.20032782224117301,0.1934432166911351,-8.454196701705047,15.615384615384615
1.5,1.5,3.5,6.0,2.0,29,41.37931034482759,0.9166519051239488,-2.7760994735911093,-1.3763046931840273,-0.1128277645379313,-0.09743361366364266,-10.39873937296136,12.758620689655173
1.5,1.5,3.5,6.0,3.0,23,34.78260869565217,0.9697219159894128,-0.8882174139261512,-0.43821597223332454,-0.0024678324214234266,-0.0022862934523262767,-8.41875433791302,18.91304347826087
1.5,1.5,3.5,8.0,2.0,28,42.857142857142854,0.9472713159497234,-1.9006989008747532,-0.9401786986952265,-0.06373324938199981,-0.057323084888197644,-10.417673110676846,13.821428571428571
1.5,1.5,3.5,8.0,3.0,22,36.36363636363637,0.9869163798200851,-0.476193277918191,-0.2346905241408015,0.01952488574019532,0.018856643028477563,-8.877928394921138,20.681818181818183
1.5,1.5,5.0,6.0,2.0,29,41.37931034482759,0.8665961015379046,-4.05611620070081,-2.0176161884554844,-0.1758702021744108,-0.1540736082723218,-11.662292138491063,12.758620689655173
1.5,1.5,5.0,6.0,3.0,23,34.78260869565217,0.8737658294165312,-2.9851594058383446,-1.4807532949057456,-0.10515539248596173,-0.09800977312061157,-10.441422735726604,18.91304347826087
1.5,1.5,5.0,8.0,2.0,28,42.857142857142854,0.8944727211291262,-3.18994062782344,-1.5831750642697817,-0.12857883623005686,-0.11713828811027281,-11.9889830367233,13.821428571428571
1.5,1.5,5.0,8.0,3.0,22,36.36363636363637,0.8855464493030653,-2.579537876920046,-1.278204360488533,-0.08455054907371291,-0.08188505161330012,-11.20123659629577,20.681818181818183
1.5,2.0,2.5,4.5,2.0,31,41.935483870967744,0.9833685163620867,-1.2226122307908094,-0.6037112885814655,-0.013722803439151832,-0.011690484916211202,-12.544733549601386,11.32258064516129
1.5,2.0,2.5,4.5,3.0,26,38.46153846153847,1.0248433079488917,1.0420257135616673,0.5115879740167584,0.10095821010096034,0.09185675876208554,-9.907081228588929,15.615384615384615
